cell_tower_id1,cell_tower_id2,source1_name,source2_name,device_name_1,device_name_2,frequency1,frequency2,frequency_band,latitude1,longitude1,latitude2,longitude2,district1,district2,id_1,id_2,nearest_precip_station,nearest_precip_lat,nearest_precip_long,distance,PathLength
CM0912,CM0860,Kotawila_Rd-CM0912-26G/563-23-ODU-1(RTNRF-1),Wennawatta_South-CM0860-26G/563-23-ODU-1(RTNRF-1),Kotawila_Rd-CM0912-26G/563,Wennawatta_South-CM0860-26G/563," 24,902.50 "," 25,910.50 ",26.0,6.94689,79.8986,6.943,79.8968,Colombo,Colombo,824.0,2049.0,curw_orugodawatta,6.943741,79.87886999999999,2.0851263301998517,0.4739583965701712
CM0260,CM0740,Kala_Traders-CM0260-23G/867-24-ODU-1(RTNRF-1),Unilever_Ind-CM0740-23G/867-24-ODU-1(RTNRF-1),Kala_Traders-CM0260-23G/867,Unilever_Ind-CM0740-23G/867," 23,030.00 "," 21,798.00 ",23.0,6.928056,79.876111,6.941610000000001,79.8689,Colombo,Colombo,836.0,2061.0,curw_orugodawatta,6.943741,79.87886999999999,1.2104479810463464,1.6976059492453512
CM0786,CM0421,Ascon_Ind-CM0786-26G/806-24-ODU-1(RTNRF-1),Mahawela_Gardens-CM0421-26G/806-24-ODU-1(RTNRF-1),Ascon_Ind-CM0786-26G/806,Mahawela_Gardens-CM0421-26G/806," 25,028.50 "," 26,036.50 ",26.0,6.93818,79.8787,6.93997,79.8806,Colombo,Colombo,883.0,2108.0,curw_orugodawatta,6.943741,79.87886999999999,0.5231650386568779,0.2885715427418543
CM0474,CM0050,Orugodawatta_North-CM0474-23G/1486-24-ODU-1(RTNRF-1),Kolonnawa-CM0050-23G/1486-24-ODU-1(RTNRF-1),Orugodawatta_North-CM0474-23G/1486,Kolonnawa-CM0050-23G/1486," 21,910.00 "," 23,142.00 ",23.0,6.9496,79.8771,6.9337800000000005,79.8875,Colombo,Colombo,1001.0,2226.0,curw_orugodawatta,6.943741,79.87886999999999,0.4417269052995086,2.093267521892713
CM0127,CM1131,Battaramulla-CM0127-23G/828-24-ODU-1(RTNRF-1),Buthgamuwa_Rd_Reloc-CM1131-23G/828-24-ODU-1(RTNRF-1),Battaramulla-CM0127-23G/828,Buthgamuwa_Rd_Reloc-CM1131-23G/828," 23,114.00 "," 21,882.00 ",23.0,6.90607,79.9149,6.913889,79.91,Colombo,Colombo,37.0,1262.0,curw_IBATTARA2,6.9079999999999995,79.919,0.7562603919946495,1.0202797454045018
CM0400,CM0244,Kotte_BSC-CM0400-23G/1510-24-ODU-1(RTNRF-1),Parliament_Grounds_Mobitel-CM0244-23G/1510-24-ODU-1(RTNRF-1),Kotte_BSC-CM0400-23G/1510,Parliament_Grounds_Mobitel-CM0244-23G/1510," 23,044.00 "," 21,812.00 ",23.0,6.887778,79.902222,6.894444,79.916667,Colombo,Colombo,70.0,1295.0,curw_IBATTARA2,6.9079999999999995,79.919,2.145644717773953,1.7584579553561026
CM0127,CM0204,Battaramulla-CM0127-26G/1165-24-ODU-1(RTNRF-1),Kalapaluwawa-CM0204-26G/1165-24-ODU-1(RTNRF-1),Battaramulla-CM0127-26G/1165,Kalapaluwawa-CM0204-26G/1165," 26,022.50 "," 25,014.50 ",26.0,6.90607,79.9149,6.915278,79.916389,Colombo,Colombo,173.0,1398.0,curw_IBATTARA2,6.9079999999999995,79.919,0.4743102016623584,1.031526489038061
CM0127,CM0953,Battaramulla-CM0127-23G/1523-23-ODU-1(RTNRF-1),Fairway Sky Gardens Indoor-CM0953-23G/1523-23-ODU-1(RTNRF-1),Battaramulla-CM0127-23G/1523,Fairway Sky Gardens Indoor-CM0953-23G/1523," 23,044.00 "," 21,812.00 ",23.0,6.90607,79.9149,6.913889,79.903611,Colombo,Colombo,481.0,1706.0,curw_IBATTARA2,6.9079999999999995,79.919,1.098952666237822,1.5179812975049878
CM0127,CM0802,Battaramulla-CM0127-26G/1210-24-ODU-1(RTNRF-1),Madinnagoda_South-CM0802-26G/1210-24-ODU-1(RTNRF-1),Battaramulla-CM0127-26G/1210,Madinnagoda_South-CM0802-26G/1210," 25,867.00 "," 24,859.00 ",26.0,6.90607,79.9149,6.9101,79.907,Colombo,Colombo,511.0,1736.0,curw_IBATTARA2,6.9079999999999995,79.919,0.8897091836257882,0.9802560418317469
CM0127,CM0801,Battaramulla-CM0127-26G/561-24-ODU-1(RTNRF-1),Gothatuwa_South-CM0801-26G/561-24-ODU-1(RTNRF-1),Battaramulla-CM0127-26G/561,Gothatuwa_South-CM0801-26G/561," 26,134.50 "," 25,126.50 ",26.0,6.90607,79.9149,6.9172,79.9133,Colombo,Colombo,513.0,1738.0,curw_IBATTARA2,6.9079999999999995,79.919,0.6744296193070228,1.2435070715197913
