cell_tower_id1,cell_tower_id2,source1_name,source2_name,district1,district2,latitude1,latitude2,longitude1,longitude2,nearest_precip_station,distance,nearest_precip_lat,nearest_precip_long,id_1,id_2,PathLength,frequency1,frequency2,frequency_band
CM0938,CM0178,Royal_Hospital-CM0938-26G/1407-23-ODU-1(RTNRF-1),Wellawatta_CENTRAL-CM0178-26G/1407-23-ODU-1(RTNRF-1),Colombo,Colombo,6.876111,6.875,79.863889,79.860833,curw_orugodawatta,7.758245779901026,6.943741,79.87887,1068,2293,0.3594150690587015," 25,063.50 "," 26,071.50 ",26
GM0045,GM0250,Thorana_Jn-GM0045-23G/701-24-ODU-1(RTNRF-1),Hunupitiya_South-GM0250-23G/701-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.968,6.97806,79.9058,79.9042,curw_orugodawatta,4.339275912606597,6.943741,79.87887,769,1994,1.1265027820822733," 21,854.00 "," 23,086.00 ",23
GM0027,GM0213,Kelaniya-GM0027-18G/971-24-ODU-1(RTNRF-1),Thambiligasmulla-GM0213-18G/971-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.95735,6.97855,79.9163,79.9376,curw_orugodawatta,5.949536456915081,6.943741,79.87887,273,1498,3.32215637709767," 18,765.00 "," 17,755.00 ",18
CM0745,CM1300,McLarence_Buildng_IBS-CM0745-26G/1408-24-ODU-1(RTNRF-1),British_Council-CM1300-26G/1408-24-ODU-1(RTNRF-1),Colombo,Colombo,6.896389,6.899722,79.856944,79.856667,curw_orugodawatta,5.6100322497574275,6.943741,79.87887,217,1442,0.3698665750973403," 26,134.50 "," 25,126.50 ",26
CM0050,CM1054,Kolonnawa-CM0050-18G/1446-23-ODU-1(RTNRF-1),Stace_Rd_Reloc-CM1054-18G/1446-23-ODU-1(RTNRF-1),Colombo,Colombo,6.93378,6.945556,79.8875,79.874444,curw_orugodawatta,0.506803964686611,6.943741,79.87887,682,1907,1.9436361897372976," 18,737.50 "," 17,727.50 ",18
CM0209,CM0517,Kotahena_North-CM0209-26G/1184-24-ODU-1(RTNRF-1),Mahawatta_Road-CM0517-26G/1184-24-ODU-1(RTNRF-1),Colombo,Colombo,6.96009,6.95895,79.8682,79.8709,curw_orugodawatta,2.0262751727387567,6.943741,79.87887,888,2113,0.32390552275912005," 26,050.50 "," 25,042.50 ",26
CM0396,CM1279,SLTA-CM0396-26G/1227-24-ODU-1(RTNRF-1),Maharaja HO-CM1279-26G/1227-24-ODU-1(RTNRF-1),Colombo,Colombo,6.910556,6.919167,79.859167,79.856944,curw_orugodawatta,3.935920989657288,6.943741,79.87887,1210,2435,0.9834732051321149," 25,098.50 "," 26,106.50 ",26
GM0015,GM0068,Handala-GM0015-23G/913-24-ODU-1(RTNRF-1),Elakanda-GM0068-23G/913-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.9977,6.994444,79.886,79.874722,curw_orugodawatta,5.789662937564833,6.943741,79.87887,94,1319,1.2971559475234236," 21,882.00 "," 23,114.00 ",23
CM0161,CM0624,Pettah-CM0161-26G/1251-23-ODU-1(RTNRF-1),Kathirasen_St-CM0624-26G/1251-23-ODU-1(RTNRF-1),Colombo,Colombo,6.94135,6.9417,79.8591,79.8548,curw_orugodawatta,2.4347151324054375,6.943741,79.87887,1208,2433,0.4767621807625353," 25,994.00 "," 24,986.00 ",26
CM0174,CM0536,Thursten-CM0174-23G/1051-24-ODU-1(RTNRF-1),Bullers_Rd_South-CM0536-23G/1051-24-ODU-1(RTNRF-1),Colombo,Colombo,6.903611,6.898611,79.8575,79.869167,curw_orugodawatta,5.017397354691992,6.943741,79.87887,1070,2295,1.4029797591658943," 23,338.00 "," 22,106.00 ",23
GM0045,GM0123,Thorana_Jn-GM0045-23G/1343-24-ODU-1(RTNRF-1),Iriyawetiya-GM0123-23G/1343-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.968,6.98066,79.9058,79.9158,curw_orugodawatta,4.888092851933888,6.943741,79.87887,818,2043,1.783611479414513," 23,058.00 "," 21,826.00 ",23
GM0027,GM0213,Kelaniya-GM0027-18G/971-23-ODU-1(RTNRF-1),Thambiligasmulla-GM0213-18G/971-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.95735,6.97855,79.9163,79.9376,curw_orugodawatta,5.949536456915081,6.943741,79.87887,272,1497,3.32215637709767," 18,765.00 "," 17,755.00 ",18
CM0050,CM0903,Kolonnawa-CM0050-23G/862-24-ODU-1(RTNRF-1),Uswatta_Rd-CM0903-23G/862-24-ODU-1(RTNRF-1),Colombo,Colombo,6.93378,6.95125,79.8875,79.8949,curw_orugodawatta,1.369299456781166,6.943741,79.87887,462,1687,2.097957200180166," 21,854.00 "," 23,086.00 ",23
CM0118,CM0282,Ward_Place-CM0118-26G/684-23-ODU-1(RTNRF-1),Barnes_Place-CM0282-26G/684-23-ODU-1(RTNRF-1),Colombo,Colombo,6.915833,6.913333,79.8725,79.873056,curw_orugodawatta,3.2941263791962494,6.943741,79.87887,1176,2401,0.2832218278685498," 25,098.50 "," 26,106.50 ",26
CM0174,CM0536,Thursten-CM0174-23G/1051-26-ODU-1(RTNRF-1),Bullers_Rd_South-CM0536-23G/1051-26-ODU-1(RTNRF-1),Colombo,Colombo,6.903611,6.898611,79.8575,79.869167,curw_orugodawatta,5.017397354691992,6.943741,79.87887,1072,2297,1.4029797591658943," 23,338.00 "," 22,106.00 ",23
CM0063,CM0464,Mattakkuliya-CM0063-26G/1176-23-ODU-1(RTNRF-1),Modara_St-CM0464-26G/1176-23-ODU-1(RTNRF-1),Colombo,Colombo,6.965278,6.97035,79.870278,79.8711,curw_orugodawatta,2.8115576741399173,6.943741,79.87887,407,1632,0.5682226787373219," 26,022.50 "," 25,014.50 ",26
CM0173,CM0460,Thummulla-CM0173-26G/673-23-ODU-1(RTNRF-1),Josep Lane-CM0460-26G/673-23-ODU-1(RTNRF-1),Colombo,Colombo,6.894722,6.893611,79.861111,79.856111,curw_orugodawatta,5.922001978748496,6.943741,79.87887,1202,2427,0.5660939608394328," 25,098.50 "," 26,106.50 ",26
CM0050,CM1054,Kolonnawa-CM0050-18G/1446-24-ODU-1(RTNRF-1),Stace_Rd_Reloc-CM1054-18G/1446-24-ODU-1(RTNRF-1),Colombo,Colombo,6.93378,6.945556,79.8875,79.874444,curw_orugodawatta,0.506803964686611,6.943741,79.87887,683,1908,1.9436361897372976," 18,737.50 "," 17,727.50 ",18
CM0209,CM0517,Kotahena_North-CM0209-26G/1184-23-ODU-1(RTNRF-1),Mahawatta_Road-CM0517-26G/1184-23-ODU-1(RTNRF-1),Colombo,Colombo,6.96009,6.95895,79.8682,79.8709,curw_orugodawatta,2.0262751727387567,6.943741,79.87887,887,2112,0.32390552275912005," 26,050.50 "," 25,042.50 ",26
CM0591,CM0013,Pettah_South-CM0591-26G/795-24-ODU-1(RTNRF-1),Dam_St_North-CM0013-26G/795-24-ODU-1(RTNRF-1),Colombo,Colombo,6.93928,6.93833,79.8606,79.8577,curw_orugodawatta,2.2465648460586114,6.943741,79.87887,1217,2442,0.3372591951854646," 24,986.50 "," 25,994.50 ",26
CM0682,CM0959,Passport_Office_Ind-CM0682-26G/648-23-ODU-1(RTNRF-1),Noris_Canal_Rd_Reloc-CM0959-26G/648-23-ODU-1(RTNRF-1),Colombo,Colombo,6.921667,6.918056,79.871667,79.870278,curw_orugodawatta,2.7813259769586067,6.943741,79.87887,1022,2247,0.4278287190711478," 25,042.50 "," 26,050.50 ",26
CM0474,CM0050,Orugodawatta_North-CM0474-23G/1486-24-ODU-1(RTNRF-1),Kolonnawa-CM0050-23G/1486-24-ODU-1(RTNRF-1),Colombo,Colombo,6.9496,6.93378,79.8771,79.8875,curw_orugodawatta,0.44172690529839265,6.943741,79.87887,1001,2226,2.0932675218927863," 21,910.00 "," 23,142.00 ",23
CM0805,CM0367,Kittanpahuwa-CM0805-26G/547-23-ODU-1(RTNRF-1),Wennawatta-CM0367-26G/547-23-ODU-1(RTNRF-1),Colombo,Colombo,6.94591,6.94449,79.8908,79.9042,curw_orugodawatta,2.0650815464095955,6.943741,79.87887,7,1232,1.4891116517355139," 25,098.50 "," 26,106.50 ",26
GM0535,GM0027,Sinharamulla-GM0535-23G/818-23-ODU-1(RTNRF-1),Kelaniya-GM0027-23G/818-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.951111,6.95735,79.903889,79.9163,curw_orugodawatta,3.64031027935531,6.943741,79.87887,338,1563,1.5352680171938373," 21,854.00 "," 23,086.00 ",23
CM0173,CM1032,Thummulla-CM0173-26G/1228-23-ODU-1(RTNRF-1),Devos_Lane-CM1032-26G/1228-23-ODU-1(RTNRF-1),Colombo,Colombo,6.894722,6.892222,79.861111,79.858333,curw_orugodawatta,5.948399556022124,6.943741,79.87887,1147,2372,0.41316224052299144," 26,022.50 "," 25,014.50 ",26
